Date_Time,Location,Suburb,Date_updated,Health_advice,Health_Advice_Short,Health_Advice_Severity,Marker_Color,lon,lat
"Friday 28/01/2022
			11:30pm to Saturday 29/01/2022 2:00am","Aberdeen Hotel Northbridge
			Bollywood Bash event
			90 Aberdeen Street",Northbridge,2022-02-01,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.8591208,-31.9464615
"Thursday 27/01/2022
			8:00pm to 8:20pm","Ciao Italia
			273 Mill Point Road",South Perth,2022-02-01,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.8688829,-31.9777672
"Thursday 27/01/2022
			6:00pm to 7:15pm","Cedar Cafe Cannington
			197 Sevenoaks Street",Cannington,2022-02-01,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.9385635,-32.0077447
"Thursday 27/01/2022
			5:00pm to 7:00pm","Bailey Brewing Company
			9861 West Swan Road",Henley Brook,2022-02-01,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,116.0002582,-31.812648
"Wednesday 26/01/2022
			6:00pm to 8:00pm","The Karalee on Preston
			25 Preston Street",Como,2022-02-01,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.8588563,-31.9939818
"Thursday 27/01/2022
			2:00pm to 4:00pm","Eaton Shopping Centre
			Cnr Eaton Dr & Recreation Dr",Eaton,2022-02-01,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.716481233693,-33.3189657089084
"Friday 28/01/2022
			4:45pm to 5:00pm","Noodler's 
			Eaton Shopping Centre
			Cnr Eaton Dr & Recreation Dr",Eaton,2022-02-01,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.7161742,-33.3194206
"Friday 28/01/2022
			2:15pm to 2:30pm","Priceline
			Eaton Shopping Centre
			Cnr Eaton Dr & Recreation Dr",Eaton,2022-02-01,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.7163442,-33.3180716
"Friday 28/01/2022
			1:30pm to 2:10pm","Coles
			Eaton Shopping Centre
			Cnr Eaton Dr & Recreation Dr",Eaton,2022-02-01,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.7152024,-33.3189382
"Friday 28/01/2022
			1:30pm to 5:00pm","Eaton Shopping Centre
			Cnr Eaton Dr & Recreation Dr",Eaton,2022-02-01,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.716481233693,-33.3189657089084
"Thursday 27/01/2022
			10:15am to10:45am","Liberty Dongara
			30217 Brand Hwy",Dongara,2022-02-01,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,114.9563777,-29.2530034
"Thursday 27/01/2022
			7:00pm to 8:00pm","Oakover Grounds
			14 Yukich Close",Middle Swan,2022-02-01,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,116.007187,-31.845108
"Thursday 27/01/2022
			4:30pm to 5:00pm","Oakover Grounds
			14 Yukich Close",Middle Swan,2022-02-01,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,116.007187,-31.845108
"Friday 28/01/2022
			5:25am to 5:45am","BP Southern Cross
			Great Eastern Hwy",Southern Cross,2022-02-01,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,119.3314216,-31.2317175
"Monday 24/01/2022
			6:00pm to 6:45pm","Leisurelife Centre (gym), Victoria Park
			Cnr Gloucester Street and Kent Street",Victoria Park,2022-01-31,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.8993606,-31.984106
"Sunday 23/01/2022
			8:30am to 10:00am","Snap Fitness Canning Vale
			2/499 Nicholson Road",Canning Vale,2022-01-31,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.933042,-32.0660589
"Wednesday 26/01/2022
			12:00pm to 12:05pm","McDonalds, Collie
			Throssell Street",Collie,2022-01-31,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,116.154216,-33.359983
"Thursday 27/01/2022
			3:00pm to 4:30pm","Jamaica Blue Stockland Bull Creek, Ground floor, Cnr South Street & Benningfield Road",Bull Creek,2022-01-30,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.8568956,-32.0641894
"Wednesday 26/01/2022
			4:00pm to 4:30pm","Tartan Spice, 15 Covenant Lane",Byford,2022-01-30,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.9876301,-32.224601
"Monday 24/01/2022
			11:30am to 12:15pm","Grill'd Fremantle, Cnr South Tce &, Collie St",Fremantle,2022-01-30,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.7476028,-32.0558611
"Wednesday 26/01/2022
			2:30pm to 4:30pm",Bailey Brewing Co. 9861 West Swan Road (cnr Park Street),Henley Brook,2022-01-30,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,116.0002582,-31.812648
"Saturday 29/01/2022
			2:00pm to 3:00pm","IGA Bullsbrook, 2544 Great Northern Highway",Bullsbrook,2022-01-30,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,116.0310923,-31.6724265
"Saturday 29/01/2022
			12:00pm to 1:00pm
			and 
			Friday 28/01/2022
			11:00 am to 12:00pm","BP Muchea, Great Northern Highway",Muchea,2022-01-30,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.9951014,-31.5681226
"Thursday 27/01/2022
			6:00am to 7:00am","AMPOL Meckering, 57/31 Great Eastern Highway",Meckering,2022-01-30,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,117.0063221,-31.6324462
"Wednesday 26/01/2022
			1:00pm to 2:00pm","IGA X-press Coolgardie, 30 Bayley Street",Coolgardie,2022-01-30,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,121.1692319,-30.9544833
"Wednesday 26/01/2022
			10:00am to 11:00am","BP Norseman, Coolgardie-Esperance Highway",Norseman,2022-01-30,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,121.7792068,-32.1855494
"Wednesday 26/01/2022
			8:30pm to 9:30pm","Mustang Bar, 46 Lake Street",Northbridge,2022-01-29,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.8572922,-31.9473133
"Wednesday 26/01/2022
			6:00pm to 11:30pm","Mister Walker Restaurant, 80 South Perth Esplanade",South Perth,2022-01-29,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.8536758,-31.9712944
"Wednesday 26/01/2022
			5:30pm to 6:00pm","Chicken Treat Cooloongup, Ennis Avenue",Cooloongup,2022-01-29,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.7640187,-32.2946686
"Wednesday 26/01/2022
			4:30pm to 9:15pm","Moonlight Express Charter, Swan River, 6 Barrack Street",Perth,2022-01-29,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.8570992,-31.9599647
"Wednesday 26/01/2022
			3:00pm to 3:30pm","Busselton Beach Shack, 1 Foreshore Parade",Busselton,2022-01-29,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.343673,-33.6450993
"Tuesday 25/01/2022
			4:00pm to 5:00pm","Bayswater Waves Gym, Cnr Broun Avenue and, Priestley St",Embleton,2022-01-29,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.91036,-31.8978485
"Saturday 22/01/2022
			11:30pm to 12:30am","Humble Nightclub, 90 Aberdeen Street",Northbridge,2022-01-29,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.8591363,-31.9463214
"Thursday 27/01/2022
			12:35 pm to 1:00pm","Nandos Bunbury, 102 Spencer Street",South Bunbury,2022-01-29,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.64,-33.336983
"Wednesday 26/01/2022
			7:30pm to 10:00pm","Collie Sunset Movie Series, Central Park Collie, 81 Forrest Street",Collie,2022-01-29,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,116.1538789,-33.3592126
"Wednesday 26/01/2022
			7:30pm to 8:00pm","KFC Livingston, 96 Ranford Road",Canning Vale,2022-01-29,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.9155357,-32.0862012
"Wednesday 26/01/2022
			5:30 pm to 5:45pm","Cod Rock Busselton, 27 Queen Street",Busselton,2022-01-29,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.3443671,-33.6484277
"Wednesday 26/01/2022
			7:30am to 7:45am","Local Cafe, 15 Dunn Bay Road",Dunsborough,2022-01-29,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.1091716,-33.6144886
"Tuesday 25/01/2022
			10:00am to 8:00pm
			and 
			Monday 24/01/2022
			4:00pm to 7:00pm","Big W Armadale, 10 Orchard Avenue",Armadale,2022-01-29,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,116.0148239,-32.1499519
"Tuesday 25/01/2022
			10:45am to 11:00am","Tas's Bakery, Shop 18/34 Dunn Bay Road",Dunsborough,2022-01-29,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.1076997,-33.616118
"Monday 24/01/2022
			12:30 pm to 12:45pm","Forrest French Hot Bread Collie, 66 Forrest Street",Collie,2022-01-29,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,116.15409,-33.35856
"Monday 24/01/2022
			7:45am to 8:00am","Artezen Espresso Bar, U1 / 234 Naturaliste Terrace",Dunsborough,2022-01-29,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.1057922,-33.6152397
"Sunday 23/01/2022
			1:10pm to 1:15pm","Peko Peko, 59 Dunn Bay Road",Dunsborough,2022-01-29,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.1063224,-33.6147561
"Sunday 23/01/2022
			1:00pm to 1:10pm","Dunsborough Pharmacy, Shop 16/55 Dunn Bay Road",Dunsborough,2022-01-29,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.105202,-33.6157876
"Tuesday 25/01/2022
			9:45am to 1:00pm","Ice Arena Cockburn
			401 Progress Drive",Cockburn,2022-01-28,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.8210133,-32.099608
"Tuesday 25/01/2022
			2:00pm to 3:30pm","Snap Fitness
			35 Council Avenue",Rockingham,2022-01-28,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.7517011,-32.2880107
"Sunday 23/01/2022
			9:30pm to 10:45pm","Infiniti9 Karaoke
			71 Francis Street",Northbridge,2022-01-28,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.8582314,-31.9476458
"Sunday 23/01/2022
			8:00pm to 9:00pm","King Hot Pot
			889 Albany Highway",East Victoria Park,2022-01-28,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.903998,-31.986475
"Friday 21/01/2022
			10:00pm to 11:30pm","The Monkey Bar
			12 Pinjarra Road",Mandurah,2022-01-28,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.7197253,-32.5346544
"Saturday 22/01/2022
			9:30pm to Sunday
			23/01/2022 5:00am","Library Nightclub,
			'Club Bootylicious' event,
			69 Lake St",Perth,2022-01-28,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.8574906,-31.9463494
"Wednesday 26/01/2022
			10:30am to 3:30pm
			 

			Tuesday 25/01/2022
			7:30am to 6:00pm
			Monday 24/01/2022
			8:00am to 6:00pm
			Sunday 23/01/2022
			10:30am to 5:30pm","City Beach (retail store),
			125 Riseley Street",Booragoon,2022-01-28,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.8353822,-32.0335913
"Tuesday 25/01/2022
			3:45pm to 5:45pm","Dunsborough and Districts Country Club,
			40 Gifford Road",Dunsborough,2022-01-28,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.1017267,-33.6026272
"Sunday 23/01/2022
			4:45pm to 5:30pm
			Tuesday 25/01/2022
			3:45pm to 4:20pm","Coles Dunsborough Centrepoint,
			Dunn Bay Rd and Cape Naturaliste Rd",Dunsborough,2022-01-28,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.1052192,-33.6155873
Tuesday 25/01/2022 3:45pm to 5:45pm,"Dunsborough & Districts Country Club
			40 Gifford Road",Dunsborough,2022-01-28,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.1073616,-33.6177125
"Tuesday 25/01/2022
			7:45am to 8:15am
			Sunday 23/01/2022
			7:30am to 8:15am","Yallingup Coffee Roasting Company
			233 Naturaliste Terrace",Yallingup,2022-01-28,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.1067542,-33.6148834
"Sunday 23/01/2022
			7:45am to 8:15am","BP Dunsborough,
			Corner Dunn Bay Road",Dunsborough,2022-01-28,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.1060513,-33.6158025
"Saturday 22/01/2022
			2:00pm to 2:15pm
			 

			Saturday 22/01/2022
			10:20am to 10:45am","Puma Binningup
			7080 Forrest Highway",Binningup,2022-01-28,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.7209868,-33.1265779
Friday 22/01/2022 10:00am to 11:30am,"Manning Library, 2 Conochie Crescent",Manning,2022-01-28,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.8676795,-32.0155662
"Friday 21/01/2022
			11:40am to 11:50am","Bunbury Post Shop
			153-155 Victoria Street",Bunbury,2022-01-28,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.6365547,-33.3269758
Friday 21/01/2022 11:20am to 11:35am,"Terry White Chemist Australind
			229 Old Coast Road",Australind,2022-01-28,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.7155421,-33.280027
"Friday 21/01/2022
			11:00am to 11:15am","Coles Australind
			Cnr Old Coast and Paris Road",Australind,2022-01-28,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.7158979,-33.2799687
Friday 21/01/2022 11:00am to 11:10am,"Bunbury Boulevard Bakery Cafe
			26 Prinsep Street",Bunbury,2022-01-28,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.6384188,-33.3251261
"Tuesday 25/01/2022
			8:30pm to 10:00pm","Petra Lounge
			624 Beaufort Street",Mount Lawley,2022-01-27,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.8718556,-31.9355029
"Tuesday 25/01/2022
			3:00pm to 3:30pm","Puma Welshpool
			23 Kewdale Road",Welshpool,2022-01-27,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.9469845,-31.9916145
"Monday 24/01/2022
			11:00am to 12:30pm","La Lah Café
			3/27 Dunn Bay Road",Dunsborough,2022-01-27,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.1080813,-33.6150755
"Sunday 23/01/2022
			12:40am to 2:00am","Hip-E Club
			23/663 Newcastle Street",Leederville,2022-01-27,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.8421203,-31.9383663
"Saturday 22/01/2022
			1:00pm to 3:00pm","Sporting Globe
			330 Pinjarra Road",Mandurah,2022-01-27,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.7416065,-32.5360668
"Wednesday 19/01/2022
			12:54pm to 1:10pm","IGA Willagee
			70 Archibald St",Willagee,2022-01-27,"Get tested immediately and isolate for 14 days from the date of last exposure, unless directly advised otherwise by the Department of Health. If you have not been contacted by the Department of Health phone 13 COVID (13 26843).",Test and Iso for 14d,4,black,115.8070728,-32.0527957
"Saturday 22/01/2022
			3:00pm to 11:30pm","Seasons Aus Day Weekend,
			Wellington Square Park",Perth,2022-01-27,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.8719294,-31.954415
"Monday 24/01/2022
			4:30pm to 5:00pm","Simmo's Ice Cream,
			161 Commonage Road",Quindalup,2022-01-27,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.113,-33.6400222
"Monday 24/01/2022
			10:15am to 10:30am","Terry White Chemist (Waikiki Village),
			7 Read Street",Waikiki,2022-01-27,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.753824,-32.3138981
"Monday 24/01/2022
			8:30am to 8:45am","Shell Coles Express,
			106-2 Napoleon Promenade",Vasse,2022-01-27,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.2512626,-33.6752086
"Saturday 22/01/2022
			3:30pm to 3:45pm","West Busselton Pharmacy,
			170 Bussell Highway",West Busselton,2022-01-27,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.322003,-33.6562805
"Saturday 22/01/2022
			1:00pm to 1:15pm","Caltex,
			93 Capel Drive",Capel,2022-01-27,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.5631621,-33.5516065
"Saturday 22/01/2022
			1:00pm to 1:15pm","Capel Hardware and Farm Supplies,
			93 Capel Drive",Capel,2022-01-27,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.5633486,-33.5515508
"Wednesday 19/01/2022
			9:06am to 9:30am","Coles Australind
			Cnr Old Coast and Paris Road",Australind,2022-01-27,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.7158979,-33.2799687
"Sunday 23/01/2022
			4:00pm to 7:00pm","Albion Hotel, 535 Stirling Highway",Cottesloe,2022-01-26,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.7629448,-31.9975116
"Saturday 22/01/2022
			11:45pm to
			Sunday 23/01/2022 1:00am","Top Floor - Mandurah Night Club, 7 Smart Street",Mandurah,2022-01-26,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.7204231,-32.5334538
"Saturday 22/01/2022
			12:00pm to 12:30pm","Beach house cafe, Warnbro Centre, 206 Warnbro South Avenue",Warnbro,2022-01-26,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.7628354,-32.346437
Friday 21/01/2022 12:00pm to 1:00pm,"Nando's Belmont Forum, 227 Belmont Avenue",Belmont,2022-01-26,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.9342843,-31.9662428
Friday 21/01/2022 8:00pm to 8:30pm,"High Wycombe Kebab House, 530 Kalamunda Road",High Wycombe,2022-01-26,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,116.0049917,-31.9355763
Friday 21/01/2022 7:30am to 8:30am,"Miami Bakehouse, Lot 602 Forrest Highway",West Pinjarra,2022-01-26,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.7778587,-32.6858014
Thursday 20/01/2022 5:00pm to 6:30pm,"Treendale Farm Hotel, 8 The Promenade, Australind",Australind,2022-01-26,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.7399526,-33.283435
"Monday 24/01/2022
			10:30am to 11:00am","Woolworths Waikiki,
			7 Read Street",Waikiki,2022-01-26,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.7530229,-32.313777
"Sunday 23/01/2022
			4:00pm to 4:30pm","Coles Secret Harbour, Warnbro Sound Avenue",Secret Harbour,2022-01-26,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.7596058,-32.4096741
"Saturday 22/01/2022
			3:45pm to 4:45pm","Bunbury Aero Club, South Western Highway",Bunbury,2022-01-26,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.6822747,-33.3747996
"Saturday 22/01/2022
			2:30pm to 3:30pm","Mundaring Hills Fresh, 7110 Great Eastern Highway",Mundaring,2022-01-26,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,116.16514,-31.9021649
"Saturday 22/01/2022
			10:20am to 10:45am","Puma Binningup, 7080 Forrest Highway",Binningup,2022-01-26,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.7209868,-33.1265779
"Friday 21/01/2022
			4:00pm to 4:15pm","Australind BP, 80 Old Coast Road",Australind,2022-01-26,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.714116,-33.2793796
"Friday 21/01/2022
			12:00pm to 12:15pm","Officeworks Bunbury, 42 Wittenoom Street",Bunbury,2022-01-26,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.6352365,-33.3228704
"Friday 21/01/2022
			11:45am to 12:30pm","Vinnies Myaree, 67 McCoy Street, Myaree",Myaree,2022-01-26,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.8171523,-32.0438977
